year,academic_type,academic_level,students
2019/20,Graduate,"Graduate, Unspecified",14460
2019/20,Non-Degree,"Non-Degree, Intensive English",19227
2019/20,Non-Degree,"Non-Degree, Other",38974
2019/20,OPT,OPT,223539
2020/21,Undergraduate,Associate's,49949
2020/21,Undergraduate,Bachelor's,309838
2020/21,Graduate,Master's,166636
2020/21,Graduate,Doctoral,132703
2020/21,Graduate,Professional,12776
2020/21,Graduate,"Graduate, Unspecified",17157
2020/21,Non-Degree,"Non-Degree, Intensive English",7093
2020/21,Non-Degree,"Non-Degree, Other",14058
2020/21,OPT,OPT,203885
2021/22,Undergraduate,Associate's,40512
2021/22,Undergraduate,Bachelor's,304020
2021/22,Graduate,Master's,215076
2021/22,Graduate,Doctoral,135530
2021/22,Graduate,Professional,13582
2021/22,Graduate,"Graduate, Unspecified",20909
2021/22,Non-Degree,"Non-Degree, Intensive English",7737
2021/22,Non-Degree,"Non-Degree, Other",26394
2021/22,OPT,OPT,184759
2022/23,Undergraduate,Associate's,42547
2022/23,Undergraduate,Bachelor's,305055
2022/23,Graduate,Master's,294923
2022/23,Graduate,Doctoral,141301
2022/23,Graduate,Professional,17926
2022/23,Graduate,"Graduate, Unspecified",12877
2022/23,Non-Degree,"Non-Degree, Intensive English",10801
2022/23,Non-Degree,"Non-Degree, Other",32965
2022/23,OPT,OPT,198793
